S1/S0  S2/S1  S3/S2  S4/S3  S5/S4  S6/S5  S7/S6  S8/S7  S9/S8  S10/S9  
0.000  10.501  2.955  0.117  0.018  -0.114  0.067  0.021  0.225  -0.078  
0.000  10.680  3.751  0.138  0.010  -0.098  0.064  0.009  0.082  -0.033  
0.000  10.755  4.230  0.134  -0.068  0.049  -0.063  -0.010  0.165  -0.078  
0.000  10.799  4.626  0.071  -0.063  0.144  -0.132  -0.050  0.124  -0.015  
0.000  10.804  4.941  0.124  -0.141  0.200  -0.109  -0.183  0.124  0.091  
0.000  10.804  4.941  0.124  -0.141  0.200  -0.109  -0.183  0.124  0.091  
0.000  10.804  4.941  0.124  -0.141  0.200  -0.109  -0.183  0.124  0.091  
0.000  10.862  5.094  0.212  -0.156  0.188  -0.073  -0.152  0.041  0.075  
0.000  10.860  5.345  0.109  -0.012  0.093  -0.054  -0.128  0.084  0.016  
0.000  10.888  5.495  0.130  0.046  -0.028  -0.006  -0.084  -0.006  0.027  
0.000  10.921  5.645  0.134  0.061  -0.059  -0.064  -0.012  -0.022  0.038  
0.000  10.957  5.749  0.100  0.077  0.042  -0.116  -0.008  -0.038  0.071  
0.000  10.974  5.823  0.150  0.060  -0.000  -0.048  -0.033  -0.045  0.105  
0.000  10.986  5.842  0.146  0.068  0.019  -0.052  -0.032  -0.073  0.098  
0.000  11.011  5.902  0.222  0.008  0.039  -0.066  -0.072  -0.070  0.164  
0.000  11.029  6.045  0.213  -0.026  0.035  -0.093  -0.082  0.022  0.110  
0.000  11.040  6.166  0.222  -0.052  0.080  -0.127  -0.078  -0.016  0.119  
0.000  11.044  6.254  0.215  -0.060  0.074  -0.068  -0.108  -0.020  0.138  
0.000  11.054  6.374  0.163  -0.033  0.052  -0.070  -0.114  0.002  0.125  
0.000  11.064  6.456  0.129  -0.034  0.057  -0.053  -0.130  0.047  0.110  
0.000  11.067  6.469  0.153  -0.050  0.046  -0.034  -0.133  0.062  0.104  
0.000  11.078  6.547  0.170  -0.042  0.025  -0.049  -0.119  0.003  0.157  
0.000  11.082  6.613  0.196  -0.034  0.016  -0.068  -0.082  -0.013  0.157  
0.000  11.085  6.717  0.154  0.005  -0.004  -0.074  -0.065  -0.028  0.146  
0.000  11.094  6.796  0.137  0.033  -0.021  -0.071  -0.074  -0.053  0.201  
0.000  11.104  6.864  0.106  0.061  -0.008  -0.098  -0.096  -0.016  0.198  
0.000  11.114  6.921  0.119  0.053  -0.030  -0.060  -0.086  -0.056  0.220  
0.000  11.114  6.934  0.125  0.026  0.003  -0.075  -0.076  -0.053  0.226  
0.000  11.124  6.968  0.139  0.009  -0.003  -0.041  -0.076  -0.030  0.172  
0.000  11.132  7.057  0.083  -0.005  -0.005  -0.033  -0.077  0.018  0.139  
0.000  11.137  7.092  0.054  0.038  -0.038  0.020  -0.123  0.055  0.115  
0.000  11.147  7.118  0.082  0.030  -0.045  0.005  -0.149  0.078  0.128  
0.000  11.155  7.187  0.040  0.022  0.019  -0.024  -0.164  0.064  0.141  
0.000  11.166  7.265  0.004  0.016  0.001  0.013  -0.156  0.018  0.184  
0.000  11.168  7.285  0.009  0.005  -0.004  0.027  -0.145  -0.009  0.197  
0.000  11.180  7.324  0.042  -0.014  0.011  0.035  -0.161  -0.013  0.167  
0.000  11.187  7.362  0.061  -0.002  -0.039  0.044  -0.133  -0.058  0.185  
0.000  11.191  7.394  0.086  -0.007  -0.058  0.030  -0.100  -0.059  0.170  
0.000  11.193  7.462  0.061  0.032  -0.099  0.019  -0.057  -0.081  0.150  
0.000  11.196  7.457  0.072  0.081  -0.116  0.035  -0.070  -0.076  0.135  
0.000  11.201  7.480  0.085  0.069  -0.079  0.019  -0.073  -0.108  0.181  
0.000  11.201  7.493  0.084  0.088  -0.107  0.029  -0.085  -0.099  0.173  
0.000  11.207  7.522  0.088  0.111  -0.126  0.010  -0.051  -0.109  0.152  
0.000  11.211  7.569  0.063  0.146  -0.139  -0.038  -0.014  -0.067  0.122  
0.000  11.217  7.602  0.087  0.136  -0.180  -0.019  -0.023  -0.060  0.114  
0.000  11.223  7.607  0.129  0.131  -0.186  -0.019  -0.019  -0.072  0.113  
0.000  11.228  7.637  0.145  0.129  -0.194  -0.016  -0.012  -0.094  0.139  
0.000  11.233  7.660  0.163  0.116  -0.172  -0.016  -0.039  -0.106  0.158  
0.000  11.235  7.661  0.177  0.103  -0.170  0.004  -0.048  -0.106  0.140  
0.000  11.236  7.687  0.174  0.120  -0.178  0.013  -0.063  -0.103  0.132  
0.000  11.241  7.693  0.209  0.091  -0.138  -0.015  -0.064  -0.105  0.125  
0.000  11.243  7.714  0.215  0.102  -0.168  0.014  -0.094  -0.050  0.091  
0.000  11.245  7.709  0.246  0.126  -0.191  0.058  -0.141  -0.046  0.096  
0.000  11.246  7.729  0.266  0.109  -0.182  0.079  -0.162  -0.031  0.079  
0.000  11.248  7.749  0.273  0.109  -0.193  0.087  -0.152  -0.043  0.090  
0.000  11.249  7.763  0.262  0.121  -0.198  0.079  -0.139  -0.062  0.108  
0.000  11.252  7.774  0.280  0.140  -0.202  0.061  -0.130  -0.067  0.110  
0.000  11.256  7.781  0.281  0.155  -0.215  0.051  -0.102  -0.064  0.088  
0.000  11.260  7.829  0.252  0.156  -0.210  0.017  -0.086  -0.044  0.083  
0.000  11.262  7.853  0.261  0.145  -0.186  0.007  -0.076  -0.057  0.100  
0.000  11.264  7.885  0.247  0.142  -0.169  -0.014  -0.055  -0.063  0.107  
0.000  11.268  7.916  0.251  0.141  -0.156  -0.076  -0.037  -0.060  0.148  
0.000  11.270  7.920  0.265  0.133  -0.159  -0.078  -0.019  -0.075  0.142  
0.000  11.271  7.924  0.321  0.072  -0.118  -0.073  -0.035  -0.074  0.108  
0.000  11.273  7.955  0.348  0.031  -0.094  -0.073  -0.050  -0.082  0.105  
0.000  11.275  7.970  0.353  0.072  -0.122  -0.095  -0.031  -0.076  0.073  
0.000  11.277  7.999  0.348  0.074  -0.165  -0.056  -0.029  -0.075  0.063  
0.000  11.278  8.016  0.339  0.089  -0.160  -0.052  -0.028  -0.091  0.056  
0.000  11.282  8.053  0.327  0.079  -0.142  -0.070  -0.023  -0.104  0.084  
